"Sequence_Name" "mcg" "gvh" "alm" "mit" "erl" "pox" "vac" "nuc" "Localization_site"
"1" "ADT1_YEAST" 0.58 0.61 0.47 0.13 0.5 0 0.48 0.22 "MIT"
"2" "ADT2_YEAST" 0.43 0.67 0.48 0.27 0.5 0 0.53 0.22 "MIT"
"3" "ADT3_YEAST" 0.64 0.62 0.49 0.15 0.5 0 0.53 0.22 "MIT"
"4" "AAR2_YEAST" 0.58 0.44 0.57 0.13 0.5 0 0.54 0.22 "NUC"
"5" "AATM_YEAST" 0.42 0.44 0.48 0.54 0.5 0 0.48 0.22 "MIT"
"6" "AATC_YEAST" 0.51 0.4 0.56 0.17 0.5 0.5 0.49 0.22 "CYT"
"7" "ABC1_YEAST" 0.5 0.54 0.48 0.65 0.5 0 0.53 0.22 "MIT"
"8" "BAF1_YEAST" 0.48 0.45 0.59 0.2 0.5 0 0.58 0.34 "NUC"
"9" "ABF2_YEAST" 0.55 0.5 0.66 0.36 0.5 0 0.49 0.22 "MIT"
"10" "ABP1_YEAST" 0.4 0.39 0.6 0.15 0.5 0 0.58 0.3 "CYT"
"11" "ACE1_YEAST" 0.43 0.39 0.54 0.21 0.5 0 0.53 0.27 "NUC"
"12" "ACE2_YEAST" 0.42 0.37 0.59 0.2 0.5 0 0.52 0.29 "NUC"
"13" "ACH1_YEAST" 0.4 0.42 0.57 0.35 0.5 0 0.53 0.25 "CYT"
"14" "ACON_YEAST" 0.6 0.4 0.52 0.46 0.5 0 0.53 0.22 "MIT"
"15" "ACR1_YEAST" 0.66 0.55 0.45 0.19 0.5 0 0.46 0.22 "MIT"
"16" "ACT_YEAST" 0.46 0.44 0.52 0.11 0.5 0 0.5 0.22 "CYT"
"17" "ACT2_YEAST" 0.47 0.39 0.5 0.11 0.5 0 0.49 0.4 "CYT"
"18" "ACT3_YEAST" 0.58 0.47 0.54 0.11 0.5 0 0.51 0.26 "NUC"
"19" "ACT5_YEAST" 0.5 0.34 0.55 0.21 0.5 0 0.49 0.22 "NUC"
"20" "ADA2_YEAST" 0.61 0.6 0.55 0.21 0.5 0 0.5 0.25 "NUC"
"21" "C1TC_YEAST" 0.45 0.4 0.5 0.16 0.5 0 0.5 0.22 "CYT"
"22" "PUR4_YEAST" 0.43 0.44 0.48 0.22 0.5 0 0.51 0.22 "CYT"
"23" "PUR3_YEAST" 0.73 0.63 0.42 0.3 0.5 0 0.49 0.22 "CYT"
"24" "ADH1_YEAST" 0.43 0.53 0.52 0.13 0.5 0 0.55 0.22 "CYT"
"25" "ADH2_YEAST" 0.46 0.53 0.52 0.15 0.5 0 0.58 0.22 "CYT"
"26" "ADH3_YEAST" 0.51 0.51 0.52 0.51 0.5 0 0.54 0.22 "MIT"
